frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
90.7,WKTL,STRUTHERS,OH,DRL,13.5,41.05172222222222,80.59866666666666,B1,THE SUMMIT,7.0,BOARD OF EDUCATION STRUTHERS OHIO CITY SCHOOLS,Adult Alternative,Youngstown-Warren
95.3,WKTN,KENTON,OH,NDIR,3.5,40.644777777777776,83.56630555555556,A,95.3 WKTN,84.0,Home Town Media Ltd,Hot AC,Lima-Van Wert
102.5,WKVR,BALTIMORE,OH,NDIR,15.0,39.770833333333336,82.74025,B1,LA GRANDE 102.5,130.0,"SOUTHEASTERN OHIO BROADCASTING SYSTEM, INC.",Regional Mexican,Flint
90.9,WKWO,WOOSTER,OH,NDIR,2.2,40.86647222222222,81.76216666666667,A,K-LOVE,79.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
100.5,WKXA-FM,FINDLAY,OH,OTS,20.0,40.916694444444445,83.59575,B,YOU COUNTRY NOW WKXA 100.5,134.0,BLANCHARD RIVER BROADCASTING COMPANY,Country,
88.3,WLFC,NORTH BALTIMORE,OH,DRL,4.6,41.11783333333334,83.54380555555555,A,,100.0,THE UNIVERSITY OF FINDLAY,Contemporary Hit Radio,
89.9,WLHS,WEST CHESTER,OH,NDIR,0.085,39.31616666666666,84.36966666666666,A,LAKOTA LOCAL RADIO WLHS 89.9,108.2,LAKOTA LOCAL SCHOOL DISTRICT,Variety,Cincinnati
91.9,WLKP,BELPRE,OH,DRL,2.9,39.34305555555556,81.49777777777778,A,K-LOVE,108.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,
95.3,WLKR-FM,NORWALK,OH,NDIR,3.3,41.28033333333333,82.65738888888889,A,,91.0,ELYRIA-LORAIN BROADCASTING COMPANY,Adult Alternative,
96.9,WLRD,WILLARD,OH,NDIR,6.0,40.960055555555556,82.621,A,TODAY'S SOUTHERN GOSPEL MUSIC,100.0,"CHRISTIAN FAITH BROADCAST, INC.",Southern Gospel,
106.9,WLRU-LP,HILLSBORO,OH,NDIR,0.1,39.19005555555555,83.61019444444445,LP100,,26.620613,ST.MARY CATHOLIC BROADCASTING SYSTEM,Religious Teaching,
88.9,WLRY,RUSHVILLE,OH,NDIR,1.1,39.77811111111111,82.42377777777779,A,RADIO FOR LIFE,91.0,ARCANGEL BROADCASTING FOUNDATION,Religious Teaching,
96.3,WLVQ,COLUMBUS,OH,OTS,18.0,39.97116666666667,83.02766666666666,B,QFM 96 OHIO'S BEST ROCK,229.0,"FRANKLIN COMMUNICATIONS, INC.",Classic Rock,"Columbus, OH"
104.5,WLZZ,MONTPELIER,OH,NDIR,3.0,41.515027777777775,84.6618888888889,A,SUPERSTAR COUNTRY Z 104,100.0,"SWICK BROADCASTING COMPANY, INC.",Country,
98.3,WMAN-FM,FREDERICKTOWN,OH,DRL,0.86,40.58283333333333,82.4735,A,WMAN-FM 98.3 NEWS RADIO,189.0,iHeartMedia,News/Talk,
90.7,WMCO,NEW CONCORD,OH,NDIR,1.2,40.00172222222222,81.73844444444444,A,THE ORBIT,44.0,Muskingum University,Variety,
89.5,WMIH,GENEVA,OH,DRL,21.0,41.8845,80.64091666666667,B1,STATION OF THE CROSS,111.2,Holy Family Communications,Religious Teaching,
105.7,WMJI,CLEVELAND,OH,NDIR,16.0,41.383916666666664,81.6953888888889,B,MAGIC 105.7,344.0,iHeartMedia,Classic Hits,Cleveland
100.9,WMJK,CLYDE,OH,NDIR,3.0,41.24919444444445,82.91294444444445,A,100.9 COAST COUNTRY,91.0,"BAS BROADCASTING, INC.",Country,
89.3,WMKV,READING,OH,DRL,0.41,39.223111111111116,84.4321388888889,A,89.3 WMKV,72.0,"MAPLE KNOLL COMMUNITIES, INC.",Adult Standards,Cincinnati
103.3,WMLX,ST. MARYS,OH,NDIR,1.95,40.63422222222222,84.208,A,MIX 103.3,170.0,iHeartMedia,Adult Contemporary,Lima-Van Wert
100.7,WMMS,CLEVELAND,OH,OTS,34.0,41.35838888888889,81.66736111111112,B,,183.0,iHeartMedia,Rock,Cleveland
107.7,WMMX,DAYTON,OH,NDIR,28.0,39.722,84.20911111111111,B,MIX 107.7,200.0,iHeartMedia,Hot AC,Dayton
94.3,WMRN-FM,MARION,OH,OTS,3.0,40.60755555555556,83.2371388888889,A,BUCKEYE COUNTRY,91.0,iHeartMedia,Country,
88.3,WMRT,MARIETTA,OH,NDIR,9.2,39.41894444444444,81.44261111111112,B1,,62.0,MARIETTA COLLEGE,Classical/Jazz,
96.1,WMTR-FM,ARCHBOLD,OH,NDIR,3.8,41.55811111111111,84.1855,A,96.1 WMTR,122.0,"Nobco, Inc.",Classic Hits,Toledo
88.5,WMUB,OXFORD,OH,DRL,24.5,39.557249999999996,84.79299999999999,B,NEWS 91.7 - 88.5 FM,147.0,THE PRESIDENT & TRUSTEES OF MIAMI UNIVERSITY,News/Talk,Cincinnati
88.9,WMWX,MIAMITOWN,OH,DRL,4.6,39.32172222222223,84.95911111111111,A,CLASS X RADIO,114.0,"SPRYEX COMMUNICATIONS, INC.",Classic Rock,
98.9,WMXY,YOUNGSTOWN,OH,NDIR,5.9,41.05672222222222,80.64533333333334,B,MIX 98.9,418.0,iHeartMedia,Adult Contemporary,Youngstown-Warren
102.7,WMYW-LP,PAULDING,OH,NDIR,0.008,41.178666666666665,84.62716666666665,LP100,MY 102.7,104.849503,"PAULDING JB ANTWERP RADIO, INC.",Variety,
93.3,WNCD,YOUNGSTOWN,OH,OTS,50.0,41.08061111111112,80.64811111111112,B,93.3 THE WOLF ROCKS,85.0,iHeartMedia,Classic Rock,Youngstown-Warren
97.9,WNCI,COLUMBUS,OH,DRL,175.0,39.969500000000004,83.00269444444444,B,COLUMBUS' HIT MUSIC STATION,171.0,iHeartMedia,Contemporary Hit Radio,"Columbus, OH"
101.3,WNCO-FM,ASHLAND,OH,NDIR,50.0,40.840333333333334,82.35711111111111,B,MID-OHIO'S COUNTRY 101.3 WNCO,152.0,iHeartMedia,Country,
98.5,WNCX,CLEVELAND,OH,NDIR,16.0,41.341166666666666,81.73986111111111,B,CLEVELAND'S CLASSIC ROCK,293.0,"Audacy License, LLC",Classic Rock,Cleveland
103.1,WNDH,NAPOLEON,OH,NDIR,3.3,41.30002777777778,84.15605555555557,A,103.1 WNDH CLASSIC HITS,91.0,iHeartMedia,Classic Hits,
104.1,WNHC-LP,LIMA,OH,NDIR,0.09,40.77002777777778,84.18411111111112,LP100,,31.466669,NEW HOPE CHRISTIAN CENTER,Religious Teaching,Lima-Van Wert
100.1,WNIR,KENT,OH,NDIR,4.2,41.10783333333333,81.3551111111111,A,THE TALK OF AKRON,120.0,"Media-Com, Inc.",Talk,Akron
96.9,WNKL,WAUSEON,OH,DRL,5.0,41.60088888888889,83.90744444444445,A,K-LOVE,109.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Toledo
